Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,0.0400134174279834,0.000424958598850349,0.084703437184713,0,0,0,3.3120339029656,0.0036507107824554,1.13776918820647E-05,1.24774298068495E-06,0.00301790394894704,-7.64189428427699E-08,0.00531086312471364,0,0,0,0,0,0,package://dodo_daimao/meshes/body.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://dodo_daimao/meshes/body.STL,,body-1;hip_right_motor_long-1/Motor_long_hip-2/Motor_long_stator-1;hip_left_motor_long-1/Motor_long_hip-2/Motor_long_stator-1,CS_body,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hip_right,-0.00935959180540419,-0.0120580540612954,-4.61678384464537E-05,0,0,0,0.428645410212592,0.000176489626110945,4.21107338219603E-06,-1.16971532582114E-07,0.00018242553146269,4.30374159940254E-08,0.000179181141560814,0,0,0,0,0,0,package://dodo_daimao/meshes/hip_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dodo_daimao/meshes/hip_right.STL,,hip_right_motor_long-1/hip_right_long_motor_new_cap-1;hip_right_motor_long-1/hip_right_long_motor_new_frame-1;hip_right_motor_long-1/Motor_long_hip-1/Motor_long_stator-1;hip_right_motor_long-1/Motor_long_hip-2/Motor_long_rotor-1;hip_right_motor_long-1/hip_long_motor_attachment_big-1,CS_hip_right,hip_right_roll,hip_right,revolute,-0.00075001,-0.093876,0,0,0,0,body,1,0,0,27,6,-0.35,0.35,,,,,,,,
upper_leg_right,0.00051642,8.2938E-05,-0.038008,0,0,0,0.13997,0.00021774,-5.1776E-08,1.6121E-05,0.00023578,-3.3175E-07,2.1634E-05,0,0,0,0,0,0,package://dodo_daimao/meshes/upper_leg_right.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dodo_daimao/meshes/upper_leg_right.STL,,hip_right_motor_long-1/Motor_long_hip-1/Motor_long_rotor-1;hip_long_motor_attachment-2;leg_right-1/leg_right_upperPart_new-1/leg_right_upperPart_new-v2_mechanicalCompartment-1;leg_right-1/leg_right_upperPart_new-1/leg_right_upperPart_new-v2_upperMechanicalCompartment-1;leg_right-1/leg_right_upperPart_new-1/leg_right_upperPart_new-v2_electricalCompartment-1;leg_right-1/leg_right_upperPart_new-1/motor_module-2,CS_leg_right_upperPart,hip_right_pitch,upper_leg_right,revolute,0,-0.0515,0,0,0,0,hip_right,0,1,0,27,6,-1.57,1.57,,,,,,,,
lower_leg_right,-0.01587610149621,-0.00929187493498879,-0.074124892377313,0,0,0,0.0729947991135356,0.000132637231144206,9.3747479049776E-08,-4.3643145747824E-06,0.000142573634138813,1.01124749060663E-06,1.25647330319124E-05,0,0,0,0,0,0,package://dodo_daimao/meshes/lower_leg_right.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://dodo_daimao/meshes/lower_leg_right.STL,,leg_right-1/leg_right_upperPart_new-1/transmission_output_pulley-1;leg_right-1/leg_right_lowerPart_new-1/leg_right_lowerPart_new-v2_electricalCompartment-2;leg_right-1/leg_right_lowerPart_new-1/leg_right_lowerPart_new-v2_kneeAttachment-1;leg_right-1/leg_right_lowerPart_new-1/leg_right_lowerPart_new-v2_lowerMechanicalCompartment-1;leg_right-1/leg_right_lowerPart_new-1/leg_right_lowerPart_new-v2_upperMechanicalCompartment-1;leg_right-1/leg_right_lowerPart_new-1/motor_module-2,CS_leg_right_lowerPart,leg_right_knee,lower_leg_right,revolute,0.02,0,-0.199,0,0,0,upper_leg_right,0,1,0,9,6,-1.3963,3.1416,,,,,,,,
foot_right,0.0094579,-0.0031616,-0.017361,0,0,0,0.035804,7.6539E-06,1.2526E-06,1.2845E-06,2.1846E-05,-1.281E-06,1.9541E-05,0,0,0,0,0,0,package://dodo_daimao/meshes/foot_right.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dodo_daimao/meshes/foot_right.STL,,leg_right-1/foot_right_new-1;leg_right-1/leg_right_lowerPart_new-1/transmission_output_pulley-1,CS_leg_right_foot,leg_right_foot,foot_right,revolute,-0.02,0,-0.199,0,0,0,lower_leg_right,0,1,0,9,6,-1.57,1.05,,,,,,,,
foot_sole_right,-1.73472347597681E-17,0,0.00567169872058571,0,0,0,0.0250241854392981,1.87120561716279E-06,-6.24808815328255E-22,2.90222075573319E-21,1.90049094994832E-05,-3.78307469549735E-22,2.05068417159572E-05,0,0,0,0,0,0,package://dodo_daimao/meshes/foot_sole_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dodo_daimao/meshes/foot_sole_right.STL,,foot_pad-1,CS_foot_sole_right,foot_sole_right,foot_sole_right,fixed,0.01367,-0.0045502,-0.048801,0,0,0,foot_right,0,0,0,,,,,,,,,,,,
hip_left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://dodo_daimao/meshes/hip_left.STL,1,1,1,1,0,0,0,0,0,0,package://dodo_daimao/meshes/hip_left.STL,,hip_left_motor_long-1/Motor_long_hip-1/Motor_long_stator-1;hip_left_motor_long-1/hip_long_motor_attachment_big-1;hip_left_motor_long-1/hip_left_long_motor_new_cap-1;hip_left_motor_long-1/hip_left_long_motor_new_frame-1;hip_left_motor_long-1/Motor_long_hip-2/Motor_long_rotor-1,CS_hip_left,hip_left_roll,hip_left,revolute,-0.00075,0.093876,0,0,0,0,body,1,0,0,27,6,-0.35,0.35,,,,,,,,
upper_leg_left,0.000470359983009524,-0.000104870920080047,-0.0379958460267216,0,0,0,0.139831556786489,0.000217276164901289,4.47992885118014E-08,1.65357655457004E-05,0.00023534518749094,3.29205860644562E-07,2.16682097797681E-05,0,0,0,0,0,0,package://dodo_daimao/meshes/upper_leg_left.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://dodo_daimao/meshes/upper_leg_left.STL,,hip_long_motor_attachment-1;hip_left_motor_long-1/Motor_long_hip-1/Motor_long_rotor-1;leg_left-1/leg_left_upperPart_new-v2-1/leg_left_upperPart_new-v2_electricalCompartment_(mirrored-right)-1;leg_left-1/leg_left_upperPart_new-v2-1/leg_left_upperPart_new-v2_mechanicalCompartment_(mirrored-right)-1;leg_left-1/leg_left_upperPart_new-v2-1/leg_left_upperPart_new-v2_upperMechanicalCompartment_(mirrored-right)-1;leg_left-1/leg_left_upperPart_new-v2-1/motor_module-2,CS_leg_left_upperPart,hip_left_pitch,upper_leg_left,revolute,0,0.0515,0,0,0,0,hip_left,0,1,0,27,6,-1.57,1.57,,,,,,,,
lower_leg_left,-0.0159332626475034,0.00934367799883778,-0.0741182203680711,0,0,0,0.0729640311072434,0.000132603326187729,-9.8027554728474E-08,-4.28769146205699E-06,0.000142575081640039,-1.01217163604183E-06,1.26000800700448E-05,0,0,0,0,0,0,package://dodo_daimao/meshes/lower_leg_left.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://dodo_daimao/meshes/lower_leg_left.STL,,leg_left-1/leg_left_upperPart_new-v2-1/transmission_output_pulley-1;leg_left-1/leg_left_lowerPart_new-v2-1/leg_left_lowerPart_new-v2_electricalCompartment_(mirrored-right)-1;leg_left-1/leg_left_lowerPart_new-v2-1/leg_left_lowerPart_new-v2_kneeAttachement_(mirrored-right)-1;leg_left-1/leg_left_lowerPart_new-v2-1/leg_left_lowerPart_new-v2_mechanicalCompartment_(mirrored-right)-1;leg_left-1/leg_left_lowerPart_new-v2-1/leg_left_lowerPart_new-v2_upperMechanicalCompartment_(mirrored-right)-1;leg_left-1/leg_left_lowerPart_new-v2-1/motor_module-1,CS_leg_left_lowerPart,leg_left_knee,lower_leg_left,revolute,0.02,0,-0.199,0,0,0,upper_leg_left,0,1,0,9,6,-1.3963,3.1416,,,,,,,,
foot_left,0.0094578881133146,0.00323178176396433,-0.0173612508209276,0,0,0,0.0358036768207827,7.65386250473635E-06,-1.25259932554362E-06,1.28450131584467E-06,2.18460376730125E-05,1.28101667369989E-06,1.95413933051716E-05,0,0,0,0,0,0,package://dodo_daimao/meshes/foot_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dodo_daimao/meshes/foot_left.STL,,leg_left-1/foot_left_new-1;leg_left-1/leg_left_lowerPart_new-v2-1/transmission_output_pulley-1,CS_leg_left_foot,leg_left_foot,foot_left,revolute,-0.02,0,-0.199,0,0,0,lower_leg_left,0,1,0,9,6,-1.57,1.05,,,,,,,,
foot_sole_left,-1.04083408558608E-17,2.77555756156289E-17,0.00567169872058565,0,0,0,0.0250241854392981,1.87123587595229E-06,2.27693702921507E-08,1.54018273619599E-22,1.90048792406936E-05,-2.17461054031225E-22,2.05068417159572E-05,0,0,0,0,0,0,package://dodo_daimao/meshes/foot_sole_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dodo_daimao/meshes/foot_sole_left.STL,,foot_pad-2,CS_foot_sole_left,foot_sole_left,foot_sole_left,fixed,0.0136701751849855,0.00459982071533604,-0.0488007300265155,0,0,-3.14026372919282,foot_left,0,0,0,,,,,,,,,,,,
